OBJECTID,RecordID,Name,Address_Line_1,Address_Line_2,Borough,Cuisine
2369,50133883,FLIK @ WELLINGTON MANAGEMENT,799 BROADWAY,"New York, NY 10003",Manhattan,Bakery Products/Desserts
2372,50085953,FLIK INTERNATIONAL CORP.,55 HUDSON YARDS,"New York, NY 10001",Manhattan,American 
2373,50100277,GABRIEL'S BAR & RESTAURANT,40 CENTRAL PARK SOUTH,"New York, NY 10019",Manhattan,Italian
2376,50113612,ELLA'S CAFE,1465 2 AVENUE,"New York, NY 10075",Manhattan,Coffee/Tea
2377,50106138,GANSEVOORT LIBERTY MARKET,150 GREENWICH STREET,"New York, NY 10007",Manhattan,Fusion
2380,50075946,EM STAR CAFE,19 DIVISION STREET,"New York, NY 10002",Manhattan,Chinese
2386,50043918,"DUNKIN, BASKIN ROBBINS",140 DELANCEY STREET,"New York, NY 10002",Manhattan,Donuts
2389,50115168,DUTCH BABY,813 WEST  187 STREET,"New York, NY 10033",Manhattan,American 
2392,50112658,DYCKMAN PALACE PIZZA,121 DYCKMAN STREET,"New York, NY 10040",Manhattan,Pizza
2396,50126355,EMMY SQUARED PIZZA,311 WEST   48 STREET,"New York, NY 10036",Manhattan,Pizza
2401,50140839,FORSYTH FIRE ESCAPE,601 WEST   26 STREET,"New York, NY 10001",Manhattan,Tex-Mex
2404,50129375,EMPANADA MAMA,239 1 AVENUE,"New York, NY 10003",Manhattan,Latin American
2407,50114985,FOX HARLEM,2224 FREDERICK DOUGLASS BOULEVARD,"New York, NY 10026",Manhattan,American 
2413,50123214,Frame,1413 2 AVENUE,"New York, NY 10021",Manhattan,Coffee/Tea
2417,50109619,EL COCO,202 8 AVENUE,"New York, NY 10011",Manhattan,Mexican
2420,50064285,E.A.K. RAMEN,469 6 AVENUE,"New York, NY 10011",Manhattan,Japanese
2422,50134766,GERMAN DONER KEBAB,1001 AVENUE OF THE AMERICAS,"New York, NY 10018",Manhattan,Mediterranean
2428,50090073,El Nuevo Valle Seafood Restaurant,231 SHERMAN AVENUE,"New York, NY 10034",Manhattan,Latin American
2430,50106381,FRENCHETTE BAKERY,220 CHURCH STREET,"New York, NY 10013",Manhattan,Bakery Products/Desserts
2436,50107564,"FRIEDMAN'S WEST, PICK-A-BAGEL",35 WEST END AVENUE,"New York, NY 10023",Manhattan,Sandwiches/Salads/Mixed Buffet
2438,50108956,EL NUEVO CAPRI RESTAURANT,1340 SAINT NICHOLAS AVENUE,"New York, NY 10033",Manhattan,Spanish
2442,50130935,EAST SEASON RESTAURANT HOUSE,244 CANAL STREET,"New York, NY 10013",Manhattan,Chinese
2444,50105697,EL PATIO DE FELA,2253 3 AVENUE,"New York, NY 10035",Manhattan,Spanish
2456,50137876,GLACE BY NOGLU,1266 MADISON AVENUE,"New York, NY 10128",Manhattan,Frozen Desserts
2461,50110716,GABBY O'HARAS,123 WEST   39 STREET,"New York, NY 10018",Manhattan,Irish
2463,50135610,GAGA JIAO CAFE,67 EAST BROADWAY,"New York, NY 10002",Manhattan,Chinese
2466,50135702,GARVEY'S TIMES SQUARE,206 WEST   41 STREET,"New York, NY 10036",Manhattan,American 
2467,50120753,EQUIS PICA POLLO RESTAURANT,521 WEST  207 STREET,"New York, NY 10034",Manhattan,Latin American
2469,50112925,GAZAB,179 ESSEX STREET,"New York, NY 10002",Manhattan,Indian
2471,50040806,EFFY'S KITCHEN,1567 LEXINGTON AVENUE,"New York, NY 10029",Manhattan,American 
2473,50110540,ELECTRIC BURRITO,81 SAINT MARKS PLACE,"New York, NY 10003",Manhattan,Mexican
2476,50107127,ELENI'S,226 3 AVENUE,"New York, NY 10003",Manhattan,Greek
2495,50134076,EL PLATO LOCO,120 DYCKMAN STREET,"New York, NY 10040",Manhattan,Spanish
2496,50113361,FELICE,240 COLUMBUS AVENUE,"New York, NY 10023",Manhattan,Italian
2498,50139267,ELENI'S GOODS,238 3 AVENUE,"New York, NY 10003",Manhattan,Greek
2503,50116106,Golden Wuish,6 PLATT STREET,"New York, NY 10038",Manhattan,Asian/Asian Fusion
2506,50120500,GOLDIE'S TAVERN,135 WEST   30 STREET,"New York, NY 10001",Manhattan,American 
2509,50102460,GONG CHA,1600 BROADWAY,"New York, NY 10019",Manhattan,Coffee/Tea
2510,50095222,GOLDING CAFE,40 WASHINGTON SQUARE SOUTH,"New York, NY 10012",Manhattan,American 
2511,50080692,GONG CHA,2810 BROADWAY,"New York, NY 10025",Manhattan,"Juice, Smoothies, Fruit Salads"
2518,50136509,GONG CHA, PENN STATION,"New York, NY 10001",Manhattan,Coffee/Tea
2521,50100867,GONG CHA & POKE+,925 LEXINGTON AVENUE,"New York, NY 10065",Manhattan,Coffee/Tea
2525,50114601,EMMETTS ON GROVE,39 GROVE STREET,"New York, NY 10014",Manhattan,Pizza
2527,50133524,GRACIE'S DINER,242 EAST   85 STREET,"New York, NY 10028",Manhattan,American 
2529,50113397,EMBASSY SUITES,60 WEST   37 STREET,"New York, NY 10018",Manhattan,American 
2530,50066664,GOURMET BAGEL,874 LEXINGTON AVENUE,"New York, NY 10065",Manhattan,Sandwiches/Salads/Mixed Buffet
2531,50116941,EMPIRE III,1902 A C POWELL BOULEVARD,"New York, NY 10026",Manhattan,Chinese
2534,50130406,GRAND MASTER DUMPLING,295 GRAND STREET,"New York, NY 10002",Manhattan,Chinese
2535,50119525,GRACE PAVILION CATERING,1114 AVENUE OF THE AMERICAS,"New York, NY 10036",Manhattan,Other
2536,50131869,ESO PESCO,2906 FREDERICK DOUGLASS BOULEVARD,"New York, NY 10039",Manhattan,Seafood
2539,50116166,Grand Street Pizza,384 GRAND STREET,"New York, NY 10002",Manhattan,Pizza
2540,50119432,ESSEX PEARL,115 DELANCEY STREET,"New York, NY 10002",Manhattan,Seafood
2541,50138090,GRAND SICHUAN EASTERN,1049 2 AVENUE,"New York, NY 10022",Manhattan,Chinese
2545,50119992,FIGARO,184 BLEECKER STREET,"New York, NY 10012",Manhattan,American 
2547,50106327,GRANNY ANNIE'S BAR & KITCHEN,425 MAIN STREET,"New York, NY 10044",Manhattan,Irish
2550,50134353,GRAYSON HOTEL / HARTA / BAR CIMA,30 WEST   39 STREET,"New York, NY 10018",Manhattan,American 
2551,50128218,EMMY SQUARED PIZZA,200 WEST   60 STREET,"New York, NY 10023",Manhattan,Pizza
