OBJECTID,RecordID,Name,Address_Line_1,Address_Line_2,Borough,Cuisine
1702,50105790,CHOMP CHOMP,78 EAST    1 STREET,"New York, NY 10009",Manhattan,Thai
1703,50112310,DOABA DELI,945 COLUMBUS AVENUE,"New York, NY 10025",Manhattan,Indian
1705,50105273,CHOP & GO,643 LEXINGTON AVENUE,"New York, NY 10022",Manhattan,Salads
1711,50086442,CROWN SHY,70 PINE STREET,"New York, NY 10005",Manhattan,American 
1716,50133880,DEVOCION,600 LEXINGTON AVENUE,"New York, NY 10022",Manhattan,Coffee/Tea
1720,50117657,COLETTA,365 3 AVENUE,"New York, NY 10016",Manhattan,Vegan
1721,50067994,DOMINICAN VALLE RESTAURANT,1601 SAINT NICHOLAS AVENUE,"New York, NY 10040",Manhattan,Spanish
1722,50106285,CHOP & GO,85 JOHN STREET,"New York, NY 10038",Manhattan,Salads
1723,50108497,DHAMAKA,88 ESSEX STREET,"New York, NY 10002",Manhattan,Indian
1724,50120356,CHOP & GO,1700 BROADWAY,"New York, NY 10019",Manhattan,Salads
1726,50098700,D K,207 WEST   36 STREET,"New York, NY 10018",Manhattan,American 
1729,50141937,CHOP'T,1 LIBERTY PLAZA,"New York, NY 10006",Manhattan,Soups/Salads/Sandwiches
1730,50106139,CLAUDIO,295 7 AVENUE,"New York, NY 10001",Manhattan,Other
1731,50050864,"COLUMBIA UNIVERSITY BAKER ATHLETICS COMPLEX, STAND #1",533 WEST  218 STREET,"New York, NY 10034",Manhattan,Hotdogs
1733,50122641,CLERMONT CAFE (GOOGLE),315 HUDSON STREET,"New York, NY 10013",Manhattan,American 
1734,50050873,"COLUMBIA UNIVERSITY BAKER ATHLETICS COMPLEX, STAND #2",533 WEST  218 STREET,"New York, NY 10034",Manhattan,Hotdogs
1735,50117829,COMMONS CAFE,665 WEST  130 STREET,"New York, NY 10027",Manhattan,American 
1740,50110249,COBBLEFISH,89 SOUTH STREET,"New York, NY 10038",Manhattan,American 
1753,50132052,COOL CULINARY,119 ESSEX STREET,"New York, NY 10002",Manhattan,Other
1754,50102287,COFFEE PROJECT,401 WEST   53 STREET,"New York, NY 10019",Manhattan,Coffee/Tea
1756,50133830,DA ADRIANO,1198 1 AVENUE,"New York, NY 10065",Manhattan,Italian
1761,50118593,DIM SUM SAM,28 EAST   23 STREET,"New York, NY 10010",Manhattan,Chinese
1762,50115002,COLBO,51 ORCHARD STREET,"New York, NY 10002",Manhattan,Coffee/Tea
