NAMELSAD,geometry,population
Census Tract 1,"MULTIPOLYGON (((-74.0407469999999961 40.7001670000000004, -74.0407299999999964 40.7001929999999987, -74.0406969999999944 40.7002150000000000, -74.0406479999999902 40.7002139999999955, -74.0406119999999959 40.7002009999999999, -74.0405689999999908 40.7001879999999971, -74.0405279999999948 40.7001759999999990, -74.0404959999999903 40.7001619999999988, -74.0404599999999959 40.7001489999999961, -74.0404149999999959 40.7001259999999974, -74.0403759999999949 40.7001119999999972, -74.0403289999999998 40.7001009999999965, -74.0402830000000023 40.7001109999999997, -74.0402490000000029 40.7001169999999988, -74.0401870000000031 40.7001139999999992, -74.0401530000000037 40.7001029999999986, -74.0401209999999992 40.7001009999999965, -74.0400819999999982 40.7000919999999979, -74.0400479999999988 40.7000740000000008, -74.0400219999999933 40.7000609999999980, -74.0399939999999930 40.7000409999999988, -74.0399659999999926 40.7000180000000000, -74.0399340000000024 40.6999939999999967, -74.0399000000000029 40.6999810000000011, -74.0398589999999928 40.6999659999999963, -74.0398249999999933 40.6999549999999957, -74.0397829999999999 40.6999519999999961, -74.0397449999999964 40.6999500000000012, -74.0397129999999919 40.6999279999999999, -74.0396889999999956 40.6998989999999949, -74.0396649999999994 40.6998729999999966, -74.0396219999999943 40.6998559999999969, -74.0395859999999999 40.6998529999999974, -74.0395469999999989 40.6998430000000013, -74.0395109999999903 40.6998159999999984, -74.0394769999999909 40.6997819999999990, -74.0394280000000009 40.6997629999999972, -74.0393809999999917 40.6997500000000016, -74.0393299999999925 40.6997269999999958, -74.0392870000000016 40.6997080000000011, -74.0392549999999972 40.6996869999999973, -74.0391630000000021 40.6996770000000012, -74.0391209999999944 40.6996709999999950, -74.0390749999999969 40.6996679999999955, -74.0390239999999977 40.6996619999999965, -74.0389899999999983 40.6996619999999965, -74.0389359999999925 40.6996549999999999, -74.0388930000000016 40.6996249999999975, -74.0388799999999918 40.6996019999999987, -74.0388379999999984 40.6995620000000002, -74.0388149999999996 40.6995319999999978, -74.0388019999999898 40.6994869999999977, -74.0387959999999907 40.6994389999999981, -74.0387829999999951 40.6994059999999962, -74.0387719999999945 40.6993979999999951, -74.0387589999999989 40.6993679999999998, -74.0387419999999992 40.6993349999999978, -74.0387229999999903 40.6993019999999959, -74.0386969999999991 40.6992789999999971, -74.0386639999999971 40.6992629999999949, -74.0386319999999927 40.6992389999999986, -74.0385979999999932 40.6992100000000008, -74.0385610000000014 40.6991930000000011, -74.0385330000000010 40.6991719999999972, -74.0385100000000023 40.6991469999999964, -74.0384940000000000 40.6991149999999990, -74.0384979999999899 40.6990739999999960, -74.0384669999999971 40.6990169999999978, -74.0384590000000031 40.6989809999999963, -74.0384629999999930 40.6989239999999981, -74.0384669999999971 40.6988699999999994, -74.0384549999999990 40.6988249999999994, -74.0384349999999927 40.6987919999999974, -74.0383959999999917 40.6987290000000002, -74.0383800000000036 40.6987139999999954, -74.0383679999999913 40.6986869999999996, -74.0383719999999954 40.6986689999999953, -74.0383920000000018 40.6986659999999958, -74.0384200000000021 40.6986649999999983, -74.0384529999999899 40.6986810000000006, -74.0385050000000007 40.6987019999999973, -74.0385270000000020 40.6987120000000004, -74.0385689999999954 40.6987299999999976, -74.0386060000000015 40.6987179999999995, -74.0386230000000012 40.6986980000000003, -74.0386029999999948 40.6986769999999964, -74.0386209999999920 40.6986709999999974, -74.0386340000000018 40.6986670000000004, -74.0386529999999965 40.6986629999999963, -74.0386809999999969 40.6986599999999967, -74.0387119999999896 40.6986539999999977, -74.0387439999999941 40.6986369999999980, -74.0387800000000027 40.6986360000000005, -74.0388269999999977 40.6986239999999952, -74.0388789999999943 40.6986109999999996, -74.0389249999999919 40.6986069999999955, -74.0389600000000030 40.6985949999999974, -74.0390060000000005 40.6985939999999999, -74.0390609999999896 40.6985969999999995, -74.0391149999999953 40.6985919999999979, -74.0391680000000036 40.6985949999999974, -74.0392049999999955 40.6986039999999960, -74.0392449999999940 40.6986139999999992, -74.0392849999999925 40.6986319999999964, -74.0393169999999969 40.6986649999999983, -74.0393409999999932 40.6986840000000001, -74.0393650000000036 40.6987090000000009, -74.0393759999999901 40.6987309999999951, -74.0394110000000012 40.6987370000000013, -74.0394379999999899 40.6987389999999962, -74.0394689999999969 40.6987519999999989, -74.0394879999999915 40.6987769999999998, -74.0395079999999979 40.6987799999999993, -74.0395379999999932 40.6987869999999958, -74.0395850000000024 40.6987899999999954, -74.0396319999999974 40.6987899999999954, -74.0396509999999921 40.6987949999999969, -74.0396700000000010 40.6987749999999977, -74.0399309999999957 40.6985899999999958, -74.0400779999999941 40.6987150000000000, -74.0402339999999981 40.6988330000000005, -74.0402150000000034 40.6988539999999972, -74.0401449999999954 40.6988969999999952, -74.0400959999999912 40.6989340000000013, -74.0400589999999994 40.6989069999999984, -74.0400439999999946 40.6989030000000014, -74.0400279999999924 40.6988979999999998, -74.0399859999999990 40.6988869999999991, -74.0399510000000021 40.6988819999999976, -74.0399099999999919 40.6988829999999950, -74.0398679999999985 40.6988929999999982, -74.0398239999999959 40.6989109999999954, -74.0397979999999905 40.6989370000000008, -74.0397959999999955 40.6989769999999993, -74.0398169999999993 40.6990089999999967, -74.0398459999999972 40.6990319999999954, -74.0398629999999969 40.6990449999999981, -74.0398989999999912 40.6990679999999969, -74.0399479999999954 40.6990979999999993, -74.0399799999999999 40.6991239999999976, -74.0400700000000001 40.6991719999999972, -74.0401579999999910 40.6991969999999981, -74.0401859999999914 40.6992149999999953, -74.0401899999999955 40.6992449999999977, -74.0401899999999955 40.6992779999999996, -74.0402109999999993 40.6993149999999986, -74.0402429999999896 40.6993329999999958, -74.0402780000000007 40.6993510000000001, -74.0403159999999900 40.6993650000000002, -74.0403510000000011 40.6993749999999963, -74.0404020000000003 40.6993930000000006, -74.0404259999999965 40.6994129999999998, -74.0404379999999946 40.6994380000000007, -74.0404549999999944 40.6994669999999985, -74.0404669999999925 40.6994929999999968, -74.0404659999999950 40.6995280000000008, -74.0404699999999991 40.6995579999999961, -74.0404839999999922 40.6995949999999951, -74.0405119999999926 40.6996269999999996, -74.0405310000000014 40.6996569999999949, -74.0405530000000027 40.6996800000000007, -74.0405779999999965 40.6997099999999961, -74.0405999999999977 40.6997390000000010, -74.0406119999999959 40.6997659999999968, -74.0406169999999975 40.6998029999999957, -74.0406150000000025 40.6998279999999966, -74.0406239999999940 40.6998600000000010, -74.0406440000000003 40.6998829999999998, -74.0406629999999950 40.6999069999999961, -74.0406739999999957 40.6999349999999964, -74.0406739999999957 40.6999619999999993, -74.0406839999999988 40.6999829999999960, -74.0406869999999913 40.7000099999999989, -74.0406909999999954 40.7000499999999974, -74.0407019999999960 40.7000710000000012, -74.0407189999999957 40.7000959999999949, -74.0407399999999996 40.7001309999999989, -74.0407469999999961 40.7001670000000004)), ((-74.0472070000000002 40.6908929999999955, -74.0471919999999955 40.6909259999999975, -74.0471869999999939 40.6909369999999981, -74.0471489999999903 40.6909849999999977, -74.0470990000000029 40.6910179999999997, -74.0470409999999930 40.6910409999999985, -74.0469650000000001 40.6910510000000016, -74.0465360000000032 40.6910759999999954, -74.0464869999999991 40.6910779999999974, -74.0463089999999937 40.6910899999999955, -74.0461770000000001 40.6910919999999976, -74.0461639999999903 40.6910979999999967, -74.0461430000000007 40.6911229999999975, -74.0461129999999912 40.6911249999999995, -74.0459819999999951 40.6911089999999973, -74.0459699999999970 40.6911029999999982, -74.0454270000000037 40.6908949999999976, -74.0450340000000011 40.6907309999999995, -74.0445699999999931 40.6905590000000004, -74.0438850000000031 40.6901849999999996, -74.0438630000000018 40.6901659999999978, -74.0434549999999945 40.6896300000000011, -74.0434989999999971 40.6891719999999992, -74.0436189999999925 40.6887599999999949, -74.0439420000000013 40.6885690000000011, -74.0439580000000035 40.6885669999999990, -74.0441319999999905 40.6885380000000012, -74.0443489999999969 40.6885079999999988, -74.0444449999999961 40.6885259999999960, -74.0447169999999915 40.6885759999999976, -74.0447920000000011 40.6885899999999978, -74.0450739999999996 40.6887350000000012, -74.0453699999999913 40.6888779999999954, -74.0462479999999914 40.6893189999999976, -74.0464849999999899 40.6895889999999980, -74.0469109999999944 40.6900819999999968, -74.0469219999999950 40.6900959999999969, -74.0471829999999898 40.6904109999999974, -74.0471500000000020 40.6904269999999997, -74.0470409999999930 40.6904830000000004, -74.0470309999999898 40.6905599999999978, -74.0470269999999999 40.6905889999999957, -74.0470480000000038 40.6906269999999992, -74.0471459999999979 40.6907149999999973, -74.0471900000000005 40.6907859999999957, -74.0471959999999996 40.6907950000000014, -74.0472070000000002 40.6908430000000010, -74.0472070000000002 40.6908929999999955)))",0
Census Tract 2.01,"POLYGON ((-73.9871649999999903 40.7143119999999996, -73.9860769999999945 40.7144009999999952, -73.9853439999999978 40.7144619999999975, -73.9852429999999970 40.7138459999999966, -73.9851139999999958 40.7137869999999964, -73.9850579999999951 40.7130779999999959, -73.9849499999999978 40.7123549999999952, -73.9848549999999960 40.7117129999999960, -73.9847850000000022 40.7112289999999959, -73.9847029999999961 40.7107019999999977, -73.9846840000000014 40.7106050000000010, -73.9846649999999926 40.7105139999999963, -73.9846550000000036 40.7104649999999992, -73.9845469999999921 40.7094949999999969, -73.9841890000000006 40.7055819999999997, -73.9858519999999942 40.7054149999999950, -73.9864340000000027 40.7053489999999982, -73.9864290000000011 40.7050829999999948, -73.9865300000000019 40.7049790000000016, -73.9865130000000022 40.7054849999999959, -73.9862679999999955 40.7057879999999983, -73.9865459999999899 40.7092969999999994, -73.9866049999999973 40.7102840000000015, -73.9866119999999938 40.7103910000000013, -73.9866200000000021 40.7104639999999947, -73.9867419999999925 40.7115359999999953, -73.9869259999999969 40.7129029999999972, -73.9870619999999946 40.7136379999999960, -73.9871649999999903 40.7143119999999996))","2,012"
Census Tract 2.02,"POLYGON ((-73.9853439999999978 40.7144619999999975, -73.9847060000000027 40.7145119999999991, -73.9831199999999995 40.7146180000000015, -73.9827859999999902 40.7146580000000000, -73.9824529999999925 40.7146989999999960, -73.9823420000000027 40.7146580000000000, -73.9816500000000019 40.7144610000000000, -73.9809229999999900 40.7142640000000000, -73.9799620000000004 40.7139729999999957, -73.9792899999999918 40.7137619999999956, -73.9787409999999994 40.7135970000000000, -73.9785189999999915 40.7135299999999987, -73.9784339999999929 40.7135040000000004, -73.9775869999999998 40.7132539999999992, -73.9773769999999899 40.7131919999999994, -73.9772449999999964 40.7131529999999984, -73.9759329999999977 40.7129070000000013, -73.9727889999999917 40.7093780000000010, -73.9730599999999896 40.7091789999999989, -73.9732429999999965 40.7090439999999987, -73.9742639999999909 40.7082979999999992, -73.9744309999999956 40.7081689999999981, -73.9745539999999977 40.7080789999999979, -73.9748199999999940 40.7078829999999954, -73.9750200000000007 40.7077359999999970, -73.9754760000000005 40.7074919999999949, -73.9790689999999955 40.7059629999999970, -73.9792329999999936 40.7057689999999965, -73.9794789999999978 40.7058249999999973, -73.9803319999999900 40.7058460000000011, -73.9809070000000020 40.7059069999999963, -73.9809869999999989 40.7053739999999991, -73.9818559999999934 40.7054899999999975, -73.9820330000000013 40.7055149999999983, -73.9822099999999949 40.7055399999999992, -73.9823289999999929 40.7055519999999973, -73.9824490000000026 40.7055469999999957, -73.9824550000000016 40.7055089999999993, -73.9825719999999905 40.7055179999999979, -73.9827480000000008 40.7055319999999980, -73.9827409999999901 40.7055760000000006, -73.9828249999999912 40.7055579999999964, -73.9830800000000011 40.7055189999999953, -73.9830800000000011 40.7054800000000014, -73.9832269999999994 40.7054819999999964, -73.9833509999999990 40.7054509999999965, -73.9833979999999940 40.7054669999999987, -73.9834259999999944 40.7055769999999981, -73.9834419999999966 40.7056449999999970, -73.9841890000000006 40.7055819999999997, -73.9845469999999921 40.7094949999999969, -73.9846550000000036 40.7104649999999992, -73.9846649999999926 40.7105139999999963, -73.9846840000000014 40.7106050000000010, -73.9847029999999961 40.7107019999999977, -73.9847850000000022 40.7112289999999959, -73.9848549999999960 40.7117129999999960, -73.9849499999999978 40.7123549999999952, -73.9850579999999951 40.7130779999999959, -73.9851139999999958 40.7137869999999964, -73.9852429999999970 40.7138459999999966, -73.9853439999999978 40.7144619999999975))","7,266"
Census Tract 5,"POLYGON ((-74.0354430000000008 40.6851249999999993, -74.0335529999999977 40.6882570000000001, -74.0263899999999921 40.7001029999999986, -74.0261529999999937 40.7016489999999962, -74.0225009999999912 40.7011669999999981, -74.0190269999999941 40.7007210000000015, -74.0156640000000010 40.6997810000000015, -74.0152939999999973 40.6996779999999987, -74.0152700000000010 40.6996709999999950, -74.0133709999999923 40.6991419999999948, -74.0115589999999912 40.6986659999999958, -74.0026649999999933 40.6953099999999992, -74.0028339999999929 40.6950450000000004, -74.0029869999999903 40.6948030000000003, -74.0029589999999899 40.6947509999999966, -74.0023329999999930 40.6945329999999998, -74.0017270000000025 40.6943219999999997, -74.0009589999999946 40.6940689999999989, -74.0011939999999981 40.6934839999999980, -74.0012770000000017 40.6932979999999986, -74.0013170000000002 40.6932079999999985, -74.0015420000000006 40.6927859999999981, -74.0017440000000022 40.6924069999999958, -74.0018180000000001 40.6922220000000010, -74.0019690000000026 40.6918429999999987, -74.0013319999999908 40.6912249999999958, -74.0006989999999973 40.6906120000000016, -74.0009599999999921 40.6901319999999984, -74.0018529999999970 40.6903879999999987, -74.0019630000000035 40.6901359999999954, -74.0021780000000007 40.6902059999999963, -74.0024269999999973 40.6902729999999977, -74.0026160000000033 40.6903239999999968, -74.0027630000000016 40.6903639999999953, -74.0029930000000036 40.6904269999999997, -74.0030239999999964 40.6903489999999977, -74.0034089999999907 40.6896130000000014, -74.0038199999999904 40.6889299999999992, -74.0039189999999962 40.6888599999999983, -74.0045929999999998 40.6882149999999996, -74.0050379999999990 40.6875609999999952, -74.0056299999999965 40.6867839999999958, -74.0058739999999915 40.6862069999999960, -74.0063499999999976 40.6862849999999980, -74.0064059999999984 40.6862889999999950, -74.0064440000000019 40.6862959999999987, -74.0065060000000017 40.6863139999999959, -74.0065939999999927 40.6863469999999978, -74.0067549999999983 40.6864129999999946, -74.0068749999999937 40.6864640000000009, -74.0069889999999901 40.6865090000000009, -74.0070199999999971 40.6865260000000006, -74.0070639999999997 40.6865039999999993, -74.0071499999999958 40.6864750000000015, -74.0072430000000026 40.6864489999999961, -74.0074109999999905 40.6863880000000009, -74.0074970000000008 40.6863439999999983, -74.0075360000000018 40.6863150000000005, -74.0076229999999953 40.6862849999999980, -74.0076699999999903 40.6862689999999958, -74.0077299999999951 40.6862539999999981, -74.0077780000000018 40.6862449999999995, -74.0078429999999940 40.6862379999999959, -74.0078989999999948 40.6862509999999986, -74.0079289999999901 40.6862759999999994, -74.0079499999999939 40.6862929999999992, -74.0081639999999936 40.6861749999999986, -74.0084250000000026 40.6860159999999951, -74.0085129999999936 40.6859630000000010, -74.0085949999999997 40.6859040000000007, -74.0109399999999908 40.6844849999999951, -74.0119239999999934 40.6838939999999951, -74.0121259999999950 40.6837699999999955, -74.0124840000000006 40.6835529999999963, -74.0126300000000015 40.6834709999999973, -74.0127679999999941 40.6836050000000000, -74.0128349999999955 40.6836089999999970, -74.0131669999999957 40.6834109999999995, -74.0152750000000026 40.6821419999999989, -74.0153229999999951 40.6821119999999965, -74.0152369999999991 40.6819959999999980, -74.0153449999999964 40.6818969999999993, -74.0163089999999926 40.6813199999999995, -74.0165199999999999 40.6811939999999979, -74.0172900000000027 40.6807310000000015, -74.0174399999999935 40.6806359999999998, -74.0174629999999922 40.6806319999999957, -74.0175589999999914 40.6806449999999984, -74.0175739999999962 40.6806440000000009, -74.0176439999999900 40.6805979999999963, -74.0177130000000005 40.6806599999999960, -74.0177970000000016 40.6806190000000001, -74.0182629999999904 40.6803339999999949, -74.0184819999999917 40.6802029999999988, -74.0185790000000026 40.6801439999999985, -74.0186729999999926 40.6800859999999957, -74.0187389999999965 40.6800459999999973, -74.0189829999999915 40.6798980000000014, -74.0189249999999959 40.6798420000000007, -74.0190769999999958 40.6797630000000012, -74.0193170000000009 40.6796079999999947, -74.0193469999999962 40.6795479999999969, -74.0193989999999928 40.6795729999999978, -74.0345729999999946 40.6848659999999995, -74.0345909999999918 40.6848309999999955, -74.0354430000000008 40.6851249999999993))",5
Census Tract 6,"POLYGON ((-73.9925619999999924 40.7143879999999996, -73.9921339999999930 40.7144199999999969, -73.9912250000000000 40.7144869999999983, -73.9907549999999929 40.7145539999999997, -73.9902199999999937 40.7144049999999993, -73.9893369999999919 40.7141329999999968, -73.9887030000000010 40.7141850000000005, -73.9871649999999903 40.7143119999999996, -73.9870619999999946 40.7136379999999960, -73.9869259999999969 40.7129029999999972, -73.9867419999999925 40.7115359999999953, -73.9866200000000021 40.7104639999999947, -73.9866119999999938 40.7103910000000013, -73.9866049999999973 40.7102840000000015, -73.9865459999999899 40.7092969999999994, -73.9862679999999955 40.7057879999999983, -73.9865130000000022 40.7054849999999959, -73.9865300000000019 40.7049790000000016, -73.9866229999999945 40.7049790000000016, -73.9866409999999917 40.7050179999999955, -73.9866899999999958 40.7050750000000008, -73.9867619999999988 40.7051179999999988, -73.9868659999999920 40.7051609999999968, -73.9872709999999927 40.7051809999999961, -73.9874489999999980 40.7051659999999984, -73.9875770000000017 40.7051579999999973, -73.9879569999999944 40.7051340000000010, -73.9892239999999930 40.7051370000000006, -73.9893809999999945 40.7051370000000006, -73.9919390000000021 40.7095279999999988, -73.9919699999999949 40.7095860000000016, -73.9920279999999906 40.7096930000000015, -73.9920749999999998 40.7097709999999964, -73.9919950000000028 40.7097860000000011, -73.9918969999999945 40.7098019999999963, -73.9918600000000026 40.7098079999999953, -73.9917769999999990 40.7098189999999960, -73.9919769999999914 40.7109109999999959, -73.9921829999999972 40.7117749999999958, -73.9922669999999982 40.7124680000000012, -73.9923919999999953 40.7131909999999948, -73.9924680000000023 40.7138569999999973, -73.9925619999999924 40.7143879999999996))","11,616"
Census Tract 7,"POLYGON ((-74.0125079999999969 40.7067669999999993, -74.0119469999999922 40.7074519999999964, -74.0117029999999971 40.7077559999999963, -74.0112479999999948 40.7083039999999983, -74.0110119999999938 40.7085939999999979, -74.0108460000000008 40.7087969999999970, -74.0105420000000009 40.7091539999999981, -74.0101470000000035 40.7089759999999998, -74.0096599999999967 40.7087560000000011, -74.0093710000000016 40.7086139999999972, -74.0082689999999985 40.7077219999999969, -74.0077819999999917 40.7074199999999990, -74.0074589999999972 40.7072189999999949, -74.0070850000000036 40.7069449999999975, -74.0067810000000037 40.7067240000000012, -74.0060209999999898 40.7061419999999998, -74.0055219999999991 40.7057909999999978, -74.0047489999999897 40.7052319999999952, -74.0046329999999983 40.7051589999999948, -74.0045599999999979 40.7051049999999961, -74.0043379999999900 40.7049650000000014, -74.0045519999999897 40.7048379999999952, -74.0042059999999964 40.7042829999999967, -74.0036269999999945 40.7032999999999987, -73.9981369999999998 40.7015249999999966, -73.9966979999999950 40.7008769999999984, -73.9975000000000023 40.6996529999999979, -73.9980319999999949 40.6987619999999950, -73.9983759999999933 40.6980480000000000, -74.0004539999999906 40.6987389999999962, -74.0060659999999899 40.7013589999999965, -74.0069809999999961 40.7021439999999970, -74.0075310000000002 40.7025959999999998, -74.0077270000000027 40.7028019999999984, -74.0078139999999962 40.7028919999999985, -74.0078510000000023 40.7030000000000030, -74.0078649999999953 40.7030199999999951, -74.0079029999999989 40.7030789999999953, -74.0079259999999977 40.7031080000000003, -74.0079489999999964 40.7031399999999977, -74.0079800000000034 40.7031889999999947, -74.0085409999999939 40.7036969999999982, -74.0089859999999931 40.7040790000000001, -74.0091029999999961 40.7041929999999965, -74.0094619999999992 40.7045449999999960, -74.0097469999999902 40.7047749999999979, -74.0099840000000029 40.7051480000000012, -74.0099950000000035 40.7053310000000010, -74.0098660000000024 40.7057969999999969, -74.0102759999999904 40.7059459999999973, -74.0104199999999963 40.7059980000000010, -74.0111899999999991 40.7062779999999975, -74.0118729999999942 40.7065519999999950, -74.0123999999999995 40.7067849999999964, -74.0125079999999969 40.7067669999999993))","10,542"
Census Tract 8,"POLYGON ((-73.9974440000000016 40.7140670000000000, -73.9964779999999962 40.7141069999999985, -73.9948399999999964 40.7142089999999968, -73.9946570000000037 40.7142199999999974, -73.9945000000000022 40.7142309999999981, -73.9943469999999905 40.7142470000000003, -73.9941400000000016 40.7142690000000016, -73.9939509999999956 40.7142909999999958, -73.9930159999999972 40.7143559999999951, -73.9928519999999992 40.7143669999999958, -73.9925619999999924 40.7143879999999996, -73.9924680000000023 40.7138569999999973, -73.9923919999999953 40.7131909999999948, -73.9922669999999982 40.7124680000000012, -73.9921829999999972 40.7117749999999958, -73.9919769999999914 40.7109109999999959, -73.9917769999999990 40.7098189999999960, -73.9918600000000026 40.7098079999999953, -73.9918969999999945 40.7098019999999963, -73.9919950000000028 40.7097860000000011, -73.9920749999999998 40.7097709999999964, -73.9920279999999906 40.7096930000000015, -73.9919699999999949 40.7095860000000016, -73.9919390000000021 40.7095279999999988, -73.9893809999999945 40.7051370000000006, -73.9894239999999996 40.7051370000000006, -73.9894949999999909 40.7051450000000017, -73.9896079999999898 40.7051579999999973, -73.9898609999999906 40.7051749999999970, -73.9905490000000015 40.7051439999999971, -73.9906959999999998 40.7051310000000015, -73.9908819999999992 40.7051239999999979, -73.9914799999999957 40.7056249999999977, -73.9927220000000005 40.7055439999999962, -73.9938530000000014 40.7048289999999966, -73.9937129999999996 40.7045199999999952, -73.9936929999999933 40.7044759999999997, -73.9938659999999970 40.7046799999999962, -73.9960049999999967 40.7088949999999983, -73.9960319999999996 40.7089980000000011, -73.9960439999999977 40.7090479999999957, -73.9960629999999924 40.7091190000000012, -73.9962220000000030 40.7091810000000009, -73.9963539999999966 40.7097849999999966, -73.9964439999999968 40.7101989999999958, -73.9967819999999961 40.7113639999999961, -73.9969469999999916 40.7120719999999992, -73.9971170000000029 40.7127989999999969, -73.9973000000000098 40.7134679999999989, -73.9975039999999922 40.7140689999999950, -73.9974440000000016 40.7140670000000000))","10,871"
Census Tract 9,"POLYGON ((-74.0144299999999902 40.7031509999999983, -74.0143920000000008 40.7035979999999995, -74.0142549999999915 40.7044250000000005, -74.0142539999999940 40.7044609999999949, -74.0142589999999956 40.7044889999999953, -74.0142709999999937 40.7045199999999952, -74.0142889999999909 40.7045490000000001, -74.0132859999999937 40.7046549999999954, -74.0133259999999922 40.7050309999999982, -74.0133560000000017 40.7054149999999950, -74.0132540000000034 40.7058709999999948, -74.0125079999999969 40.7067669999999993, -74.0123999999999995 40.7067849999999964, -74.0118729999999942 40.7065519999999950, -74.0111899999999991 40.7062779999999975, -74.0104199999999963 40.7059980000000010, -74.0102759999999904 40.7059459999999973, -74.0098660000000024 40.7057969999999969, -74.0099950000000035 40.7053310000000010, -74.0099840000000029 40.7051480000000012, -74.0097469999999902 40.7047749999999979, -74.0094619999999992 40.7045449999999960, -74.0091029999999961 40.7041929999999965, -74.0089859999999931 40.7040790000000001, -74.0085409999999939 40.7036969999999982, -74.0079800000000034 40.7031889999999947, -74.0079489999999964 40.7031399999999977, -74.0079259999999977 40.7031080000000003, -74.0079029999999989 40.7030789999999953, -74.0078649999999953 40.7030199999999951, -74.0078510000000023 40.7030000000000030, -74.0078139999999962 40.7028919999999985, -74.0077270000000027 40.7028019999999984, -74.0075310000000002 40.7025959999999998, -74.0069809999999961 40.7021439999999970, -74.0060659999999899 40.7013589999999965, -74.0004539999999906 40.6987389999999962, -73.9983759999999933 40.6980480000000000, -73.9988469999999978 40.6971409999999949, -73.9987629999999967 40.6971099999999950, -73.9988570000000010 40.6969199999999987, -73.9989399999999904 40.6969409999999954, -73.9989910000000037 40.6968120000000013, -73.9991819999999905 40.6968849999999946, -73.9992950000000036 40.6967950000000016, -73.9994739999999922 40.6967039999999969, -73.9995349999999945 40.6965779999999953, -73.9994779999999963 40.6964660000000009, -73.9994279999999947 40.6964100000000002, -73.9994200000000006 40.6963609999999960, -73.9994609999999966 40.6962800000000016, -73.9996039999999908 40.6960690000000014, -73.9998819999999995 40.6956050000000005, -74.0002769999999970 40.6949589999999972, -74.0007009999999923 40.6943879999999965, -74.0009589999999946 40.6940689999999989, -74.0017270000000025 40.6943219999999997, -74.0023329999999930 40.6945329999999998, -74.0029589999999899 40.6947509999999966, -74.0029869999999903 40.6948030000000003, -74.0028339999999929 40.6950450000000004, -74.0026649999999933 40.6953099999999992, -74.0115589999999912 40.6986659999999958, -74.0133709999999923 40.6991419999999948, -74.0136529999999908 40.7002209999999991, -74.0135829999999970 40.7003709999999970, -74.0136729999999972 40.7008749999999964, -74.0137079999999941 40.7010700000000014, -74.0137229999999988 40.7011329999999987, -74.0137479999999925 40.7012000000000000, -74.0138139999999964 40.7013059999999953, -74.0139789999999920 40.7015309999999957, -74.0140109999999964 40.7019759999999948, -74.0140049999999974 40.7019979999999961, -74.0139909999999901 40.7020179999999954, -74.0139669999999938 40.7020440000000008, -74.0139289999999903 40.7020669999999996, -74.0138719999999921 40.7020819999999972, -74.0138389999999902 40.7020920000000004, -74.0138219999999905 40.7021049999999960, -74.0138089999999949 40.7021329999999963, -74.0138340000000028 40.7024059999999963, -74.0142060000000015 40.7027369999999991, -74.0143119999999897 40.7028639999999982, -74.0143539999999973 40.7029330000000016, -74.0143869999999993 40.7030040000000000, -74.0144129999999905 40.7030759999999958, -74.0144299999999902 40.7031509999999983))","2,016"
Census Tract 10.01,"POLYGON ((-73.9794950000000000 40.7148899999999969, -73.9792219999999929 40.7154029999999949, -73.9791340000000019 40.7155529999999999, -73.9791019999999975 40.7156120000000001, -73.9790199999999913 40.7157479999999978, -73.9789919999999910 40.7157979999999995, -73.9789090000000016 40.7159509999999969, -73.9785430000000019 40.7158370000000005, -73.9784379999999970 40.7158039999999986, -73.9780829999999980 40.7156919999999971, -73.9779169999999908 40.7156489999999991, -73.9772399999999948 40.7154850000000010, -73.9764569999999964 40.7152990000000017, -73.9765869999999950 40.7150469999999984, -73.9766139999999979 40.7149949999999947, -73.9765539999999930 40.7149779999999950, -73.9764539999999897 40.7149489999999972, -73.9763999999999982 40.7149310000000000, -73.9763439999999974 40.7149169999999998, -73.9752269999999896 40.7145820000000001, -73.9688609999999898 40.7126499999999965, -73.9688950000000034 40.7126200000000011, -73.9689449999999908 40.7125750000000011, -73.9689929999999976 40.7125330000000005, -73.9690209999999979 40.7125079999999997, -73.9690499999999957 40.7124820000000014, -73.9690719999999970 40.7123849999999976, -73.9691279999999978 40.7121439999999950, -73.9696119999999979 40.7101599999999948, -73.9699409999999915 40.7093099999999950, -73.9698879999999974 40.7087700000000012, -73.9698449999999923 40.7079880000000003, -73.9696129999999954 40.7076339999999988, -73.9701409999999981 40.7074069999999963, -73.9702359999999999 40.7073669999999979, -73.9703179999999918 40.7073320000000010, -73.9705730000000017 40.7075549999999993, -73.9723089999999956 40.7090710000000016, -73.9727889999999917 40.7093780000000010, -73.9759329999999977 40.7129070000000013, -73.9772449999999964 40.7131529999999984, -73.9773769999999899 40.7131919999999994, -73.9775869999999998 40.7132539999999992, -73.9784339999999929 40.7135040000000004, -73.9785189999999915 40.7135299999999987, -73.9787409999999994 40.7135970000000000, -73.9792899999999918 40.7137619999999956, -73.9799620000000004 40.7139729999999957, -73.9794950000000000 40.7148899999999969))","1,767"
