,lon,short_name,region_id,capacity,station_id,name,lat,rental_uris.android,rental_uris.ios,geometry,index_right,zone
1903,-73.9612547,7783.18,71,33,32d3adc3-c3dd-4a97-a4db-95d467f3c3aa,Broadway & W 122 St,40.8120562,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.9612547 40.8120562),1084,Morningside Heights
1906,-73.93333,7540.05,71,23,1960021056359127624,Pleasant Ave & E 116 St,40.79499,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.93333 40.79499),350,East Harlem North
1908,-73.94860294,7365.08,71,30,66ddebce-0aca-11e7-82f6-3863bb44ef7c,E 97 St & 3 Ave,40.7859201,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.94860294 40.7859201),411,East Harlem South
1911,-73.99193043,5159.04,71,27,66db930d-0aca-11e7-82f6-3863bb44ef7c,Pike St & Monroe St,40.71173107,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99193043 40.71173107),1351,Two Bridges/Seward Park
1912,-74.016538,5114.08,71,45,1794096824496960148,South End Ave & Albany St,40.709957,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.016538 40.709957),26,Battery Park City
1917,-73.99069656,5593.02,71,84,66dbf140-0aca-11e7-82f6-3863bb44ef7c,E 2 St & 2 Ave,40.72502876,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99069656 40.72502876),451,East Village
1922,-74.00366443,6190.08,71,84,66dc11a7-0aca-11e7-82f6-3863bb44ef7c,9 Ave & W 18 St,40.74317449,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00366443 40.74317449),319,East Chelsea
1927,-73.964928,7713.01,71,39,5b4a90b8-426d-4a40-a7ca-87e51d690883,W 113 St & Broadway,40.805973,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.964928 40.805973),1084,Morningside Heights
1930,-73.941616,7992.04,71,22,c229f0ca-bdd1-4aa0-8906-a3e809e12889,Bradhurst Ave & W 148 St,40.825125,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.941616 40.825125),624,Hamilton Heights
1933,-73.99974372,5351.03,71,43,66dbc745-0aca-11e7-82f6-3863bb44ef7c,Bayard St & Baxter St,40.71602118,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99974372 40.71602118),241,Chinatown
