lat,lon,processed,new_records,error
40.73,-73.93,True,0,
40.73,-73.925,True,0,
40.735,-74.02,True,1,
40.735,-74.015,True,19,
40.735,-74.01,True,90,Too many results: likely to exceed 240 limit
40.735,-74.005,True,51,Too many results: likely to exceed 240 limit
40.735,-74.0,True,120,Too many results: likely to exceed 240 limit
40.735,-73.995,True,124,Too many results: likely to exceed 240 limit
40.735,-73.99,True,123,Too many results: likely to exceed 240 limit
40.735,-73.985,True,93,Too many results: likely to exceed 240 limit
40.735,-73.98,True,64,Too many results: likely to exceed 240 limit
40.735,-73.975,True,17,
40.735,-73.97,True,0,
40.735,-73.965,True,3,
40.735,-73.96,True,13,
40.735,-73.955,True,4,
40.735,-73.95,True,7,
40.735,-73.945,True,1,
40.735,-73.94,True,6,
40.735,-73.935,True,7,
40.735,-73.93,True,17,
40.735,-73.925,True,18,
40.74,-74.02,True,4,
40.74,-74.015,True,22,
40.74,-74.01,True,101,Too many results: likely to exceed 240 limit
40.74,-74.005,True,36,Too many results: likely to exceed 240 limit
40.74,-74.0,True,120,Too many results: likely to exceed 240 limit
40.74,-73.995,True,128,Too many results: likely to exceed 240 limit
40.74,-73.99,True,124,Too many results: likely to exceed 240 limit
40.74,-73.985,True,114,Too many results: likely to exceed 240 limit
40.74,-73.98,True,73,Too many results: likely to exceed 240 limit
40.74,-73.975,True,70,Too many results: likely to exceed 240 limit
40.74,-73.97,True,1,
40.74,-73.965,True,9,
40.74,-73.96,True,50,
40.74,-73.955,True,19,
40.74,-73.95,True,3,
40.74,-73.945,True,5,
40.74,-73.94,True,21,
40.74,-73.935,True,10,
40.74,-73.93,True,37,
40.74,-73.925,True,83,
40.745,-74.02,True,1,
40.745,-74.015,True,5,
40.745,-74.01,True,39,
40.745,-74.005,True,44,Too many results: likely to exceed 240 limit
40.745,-74.0,True,68,Too many results: likely to exceed 240 limit
40.745,-73.995,True,97,Too many results: likely to exceed 240 limit
40.745,-73.99,True,143,Too many results: likely to exceed 240 limit
40.745,-73.985,True,157,Too many results: likely to exceed 240 limit
40.745,-73.98,True,109,Too many results: likely to exceed 240 limit
40.745,-73.975,True,51,Too many results: likely to exceed 240 limit
40.745,-73.97,True,37,
40.745,-73.965,True,0,
40.745,-73.96,True,19,
40.745,-73.955,True,11,
40.745,-73.95,True,52,
40.745,-73.945,True,83,
40.745,-73.94,True,6,
40.745,-73.935,True,2,
40.745,-73.93,True,52,
40.745,-73.925,True,7,Too many results: likely to exceed 240 limit
40.75,-74.02,True,19,
40.75,-74.015,True,2,
40.75,-74.01,True,38,
40.75,-74.005,True,92,Too many results: likely to exceed 240 limit
40.75,-74.0,True,75,Too many results: likely to exceed 240 limit
40.75,-73.995,True,133,Too many results: likely to exceed 240 limit
40.75,-73.99,True,142,Too many results: likely to exceed 240 limit
40.75,-73.985,True,185,Too many results: likely to exceed 240 limit
40.75,-73.98,True,149,Too many results: likely to exceed 240 limit
40.75,-73.975,True,90,Too many results: likely to exceed 240 limit
40.75,-73.97,True,94,Too many results: likely to exceed 240 limit
40.75,-73.965,True,68,
40.75,-73.96,True,1,
40.75,-73.955,True,7,
40.75,-73.95,True,11,
40.75,-73.945,True,21,
40.75,-73.94,True,24,
40.75,-73.935,True,12,
40.75,-73.93,True,18,
40.75,-73.925,True,17,
40.755,-74.02,True,5,
40.755,-74.015,True,0,
40.755,-74.01,True,3,
40.755,-74.005,True,30,
40.755,-74.0,True,44,Too many results: likely to exceed 240 limit
40.755,-73.995,True,125,Too many results: likely to exceed 240 limit
40.755,-73.99,True,136,Too many results: likely to exceed 240 limit
40.755,-73.985,True,179,Too many results: likely to exceed 240 limit
40.755,-73.98,True,166,Too many results: likely to exceed 240 limit
40.755,-73.975,True,140,Too many results: likely to exceed 240 limit
40.755,-73.97,True,111,Too many results: likely to exceed 240 limit
40.755,-73.965,True,60,Too many results: likely to exceed 240 limit
40.755,-73.96,True,50,
40.755,-73.955,True,3,
40.755,-73.95,True,5,
40.755,-73.945,True,12,
40.755,-73.94,True,15,
40.755,-73.935,True,55,
40.755,-73.93,True,37,
40.755,-73.925,True,63,Too many results: likely to exceed 240 limit
40.76,-74.02,True,11,
40.76,-74.015,True,0,
40.76,-74.01,True,1,
40.76,-74.005,True,12,
40.76,-74.0,True,82,Too many results: likely to exceed 240 limit
40.76,-73.995,True,106,Too many results: likely to exceed 240 limit
40.76,-73.99,True,117,Too many results: likely to exceed 240 limit
40.76,-73.985,True,186,Too many results: likely to exceed 240 limit
40.76,-73.98,True,158,Too many results: likely to exceed 240 limit
40.76,-73.975,True,147,Too many results: likely to exceed 240 limit
40.76,-73.97,True,161,Too many results: likely to exceed 240 limit
40.76,-73.965,True,55,Too many results: likely to exceed 240 limit
40.76,-73.96,True,69,Too many results: likely to exceed 240 limit
40.76,-73.955,True,16,
40.76,-73.95,True,0,
40.76,-73.945,True,21,
40.76,-73.94,True,3,
40.76,-73.935,True,22,
40.76,-73.93,True,56,Too many results: likely to exceed 240 limit
40.76,-73.925,True,26,Too many results: likely to exceed 240 limit
40.765,-74.02,True,1,
40.765,-74.015,True,0,
40.765,-74.01,True,0,
40.765,-74.005,True,0,
40.765,-74.0,True,5,
40.765,-73.995,True,96,Too many results: likely to exceed 240 limit
40.765,-73.99,True,96,Too many results: likely to exceed 240 limit
40.765,-73.985,True,125,Too many results: likely to exceed 240 limit
40.765,-73.98,True,143,Too many results: likely to exceed 240 limit
40.765,-73.975,True,74,Too many results: likely to exceed 240 limit
40.765,-73.97,True,98,Too many results: likely to exceed 240 limit
40.765,-73.965,True,29,Too many results: likely to exceed 240 limit
40.765,-73.96,True,68,Too many results: likely to exceed 240 limit
40.765,-73.955,True,63,Too many results: likely to exceed 240 limit
40.765,-73.95,True,3,
40.765,-73.945,True,0,
40.765,-73.94,True,2,
40.765,-73.935,True,21,
40.765,-73.93,True,18,
40.765,-73.925,True,63,Too many results: likely to exceed 240 limit
40.77,-74.02,True,50,
40.77,-74.015,True,2,
40.77,-74.01,True,0,
40.77,-74.005,True,0,
40.77,-74.0,True,1,
40.77,-73.995,True,42,
40.77,-73.99,True,46,Too many results: likely to exceed 240 limit
40.77,-73.985,True,64,Too many results: likely to exceed 240 limit
40.77,-73.98,True,18,Too many results: likely to exceed 240 limit
40.77,-73.975,True,5,
40.77,-73.97,True,26,
40.77,-73.965,True,55,Too many results: likely to exceed 240 limit
40.77,-73.96,True,40,Too many results: likely to exceed 240 limit
40.77,-73.955,True,35,Too many results: likely to exceed 240 limit
40.77,-73.95,True,55,Too many results: likely to exceed 240 limit
40.77,-73.945,True,1,
40.77,-73.94,True,1,
40.77,-73.935,True,10,
40.77,-73.93,True,21,
40.77,-73.925,True,32,
40.775,-74.02,True,74,
40.775,-74.015,True,5,
40.775,-74.01,True,0,
40.775,-74.005,True,0,
40.775,-74.0,True,0,
40.775,-73.995,True,4,
40.775,-73.99,True,21,
40.775,-73.985,True,105,Too many results: likely to exceed 240 limit
40.775,-73.98,True,27,Too many results: likely to exceed 240 limit
40.775,-73.975,True,6,
40.775,-73.97,True,8,
40.775,-73.965,True,16,
40.775,-73.96,True,57,Too many results: likely to exceed 240 limit
40.775,-73.955,True,50,Too many results: likely to exceed 240 limit
40.775,-73.95,True,60,Too many results: likely to exceed 240 limit
40.775,-73.945,True,29,
40.775,-73.94,True,2,
40.775,-73.935,True,0,
40.775,-73.93,True,0,
40.775,-73.925,True,3,
40.78,-74.02,True,78,
40.78,-74.015,True,8,
40.78,-74.01,True,2,
40.78,-74.005,True,0,
40.78,-74.0,True,0,
40.78,-73.995,True,0,
40.78,-73.99,True,0,
40.78,-73.985,True,37,Too many results: likely to exceed 240 limit
40.78,-73.98,True,19,Too many results: likely to exceed 240 limit
40.78,-73.975,True,54,Too many results: likely to exceed 240 limit
40.78,-73.97,True,6,
40.78,-73.965,True,5,
