place_id,day,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
ChIJASwLqU9ZwokRAoIgy6k2RgY,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,81,100,96,84,72,57,69,63,45,27,0,0
ChIJASwLqU9ZwokRAoIgy6k2RgY,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,48,60,57,69,63,75,75,66,0,0,0,0
ChIJ30krXK5ZwokRN_iwisXhHxI,Monday,0,0,0,0,0,0,31,46,50,56,65,68,53,43,25,31,37,31,18,18,0,0,0,0
ChIJ30krXK5ZwokRN_iwisXhHxI,Tuesday,0,0,0,0,0,0,56,81,100,87,78,59,62,59,75,75,75,59,46,37,0,0,0,0
ChIJ30krXK5ZwokRN_iwisXhHxI,Wednesday,0,0,0,0,0,0,43,50,53,56,50,50,43,43,43,46,46,56,65,43,0,0,0,0
ChIJ30krXK5ZwokRN_iwisXhHxI,Thursday,0,0,0,0,0,0,50,53,71,59,75,75,59,43,25,28,25,34,21,28,0,0,0,0
ChIJ30krXK5ZwokRN_iwisXhHxI,Friday,0,0,0,0,0,0,71,65,65,56,65,71,68,65,65,62,56,53,40,56,0,0,0,0
ChIJ30krXK5ZwokRN_iwisXhHxI,Saturday,0,0,0,0,0,0,46,46,43,43,43,50,53,62,43,50,46,62,71,0,0,0,0,0
ChIJ30krXK5ZwokRN_iwisXhHxI,Sunday,0,0,0,0,0,0,40,37,31,31,25,25,28,31,40,68,75,59,43,0,0,0,0,0
ChIJ6bXru69ZwokRQQ77x79D89M,Monday,23,0,0,0,0,0,0,0,0,0,0,21,39,49,52,54,63,71,72,65,58,51,47,34
ChIJ6bXru69ZwokRQQ77x79D89M,Tuesday,21,11,6,0,0,0,0,0,0,0,0,25,42,55,61,65,71,82,84,73,63,55,52,43
ChIJ6bXru69ZwokRQQ77x79D89M,Wednesday,27,15,7,0,0,0,0,0,0,0,0,26,44,55,62,69,79,94,100,89,75,67,62,52
ChIJ6bXru69ZwokRQQ77x79D89M,Thursday,30,15,5,0,0,0,0,0,0,0,0,32,51,61,67,73,86,97,97,86,69,60,52,45
ChIJ6bXru69ZwokRQQ77x79D89M,Friday,33,21,12,0,0,0,0,0,0,0,0,26,45,58,65,75,86,92,92,84,84,85,89,84
ChIJ6bXru69ZwokRQQ77x79D89M,Saturday,60,34,16,0,0,0,0,0,0,0,0,29,44,54,67,75,83,89,88,83,73,68,63,58
ChIJ6bXru69ZwokRQQ77x79D89M,Sunday,41,26,13,0,0,0,0,0,0,0,0,24,34,40,42,48,55,60,60,56,52,48,41,34
ChIJl60eBK1ZwokReIc25YcPsTA,Monday,46,37,0,0,0,0,0,0,0,0,0,0,0,37,37,37,36,37,36,34,41,50,62,62
ChIJl60eBK1ZwokReIc25YcPsTA,Tuesday,55,37,0,0,0,0,0,0,0,0,0,0,32,46,50,48,44,44,51,56,50,53,60,62
ChIJl60eBK1ZwokReIc25YcPsTA,Wednesday,44,32,0,0,0,0,0,0,0,0,0,0,31,44,60,62,72,62,62,46,44,44,51,48
ChIJl60eBK1ZwokReIc25YcPsTA,Thursday,37,31,0,0,0,0,0,0,0,0,0,0,34,44,56,68,68,60,62,53,55,50,58,58
ChIJl60eBK1ZwokReIc25YcPsTA,Friday,46,24,0,0,0,0,0,0,0,0,0,0,27,37,51,75,94,96,82,68,51,56,74,94
ChIJl60eBK1ZwokReIc25YcPsTA,Saturday,87,68,39,25,0,0,0,0,0,0,0,0,31,44,60,70,77,77,67,53,56,79,89,100
ChIJl60eBK1ZwokReIc25YcPsTA,Sunday,81,53,29,15,0,0,0,0,0,0,0,0,13,27,41,51,55,53,53,50,48,60,67,65
ChIJpU_RVK5ZwokRmAtTNwJNDyQ,Monday,0,0,0,0,0,11,11,18,22,34,38,43,56,68,61,56,56,68,61,54,45,0,0,0
ChIJpU_RVK5ZwokRmAtTNwJNDyQ,Tuesday,0,0,0,0,0,20,34,56,63,59,61,59,79,93,93,100,84,61,47,40,40,0,0,0
ChIJpU_RVK5ZwokRmAtTNwJNDyQ,Wednesday,0,0,0,0,0,27,36,36,43,56,65,84,97,90,86,84,77,65,56,43,38,0,0,0
ChIJpU_RVK5ZwokRmAtTNwJNDyQ,Thursday,0,0,0,0,0,22,31,45,56,61,77,81,88,88,86,77,61,59,52,43,34,0,0,0
ChIJpU_RVK5ZwokRmAtTNwJNDyQ,Friday,0,0,0,0,0,22,36,40,47,68,81,84,86,84,79,63,54,56,56,61,40,0,0,0
ChIJpU_RVK5ZwokRmAtTNwJNDyQ,Saturday,0,0,0,0,0,11,15,13,22,31,38,47,50,47,38,38,45,40,38,29,20,0,0,0
ChIJpU_RVK5ZwokRmAtTNwJNDyQ,Sunday,0,0,0,0,0,13,15,29,40,43,45,52,52,36,34,38,52,47,38,27,0,0,0,0
ChIJY7SYAqxZwokRwEv7sazo7k0,Monday,0,0,0,0,0,9,30,48,69,81,74,74,79,79,81,76,79,79,67,53,48,23,0,0
ChIJY7SYAqxZwokRwEv7sazo7k0,Tuesday,0,0,0,0,0,11,13,18,37,53,60,69,81,93,86,76,74,76,74,69,60,51,0,0
ChIJY7SYAqxZwokRwEv7sazo7k0,Wednesday,0,0,0,0,0,4,18,44,67,74,79,88,95,100,93,90,90,72,58,48,44,41,0,0
ChIJY7SYAqxZwokRwEv7sazo7k0,Thursday,0,0,0,0,0,11,30,48,74,72,72,67,79,79,83,90,95,90,74,60,46,30,0,0
ChIJY7SYAqxZwokRwEv7sazo7k0,Friday,0,0,0,0,0,23,41,58,76,72,69,67,79,97,93,83,81,88,88,81,65,48,0,0
ChIJY7SYAqxZwokRwEv7sazo7k0,Saturday,0,0,0,0,0,0,32,39,46,51,53,55,53,44,39,46,46,65,74,74,62,44,0,0
ChIJY7SYAqxZwokRwEv7sazo7k0,Sunday,0,0,0,0,0,0,23,30,34,34,44,41,37,39,53,62,69,74,69,62,48,0,0,0
ChIJwf0fO6ZZwokR3gpyFtEjm5Q,Monday,0,0,0,0,0,20,40,52,72,84,72,76,76,84,80,64,60,56,36,20,0,0,0,0
ChIJwf0fO6ZZwokR3gpyFtEjm5Q,Tuesday,0,0,0,0,0,40,20,16,32,48,64,76,64,52,52,64,60,64,52,48,0,0,0,0
ChIJwf0fO6ZZwokR3gpyFtEjm5Q,Wednesday,0,0,0,0,0,48,44,36,44,40,56,68,72,60,52,64,60,56,40,28,0,0,0,0
ChIJwf0fO6ZZwokR3gpyFtEjm5Q,Thursday,0,0,0,0,0,60,80,80,80,84,80,100,76,80,64,72,52,44,28,20,0,0,0,0
ChIJwf0fO6ZZwokR3gpyFtEjm5Q,Friday,0,0,0,0,0,24,28,44,64,100,84,72,52,36,52,56,64,48,28,20,0,0,0,0
ChIJwf0fO6ZZwokR3gpyFtEjm5Q,Saturday,0,0,0,0,0,0,0,4,20,40,60,72,68,76,84,56,32,12,0,0,0,0,0,0
ChIJwf0fO6ZZwokR3gpyFtEjm5Q,Sunday,0,0,0,0,0,0,0,24,28,40,44,44,44,52,64,68,68,52,0,0,0,0,0,0
ChIJe0vUxq1ZwokR2U9PaJyn9Mk,Monday,0,0,0,0,0,45,43,45,59,81,100,91,62,56,56,72,72,86,89,70,64,0,0,0
ChIJe0vUxq1ZwokR2U9PaJyn9Mk,Tuesday,0,0,0,0,0,16,16,32,59,62,78,75,72,75,75,83,91,91,81,64,37,0,0,0
ChIJe0vUxq1ZwokR2U9PaJyn9Mk,Wednesday,0,0,0,0,0,32,40,51,75,81,89,70,62,70,83,83,81,78,67,56,35,0,0,0
ChIJe0vUxq1ZwokR2U9PaJyn9Mk,Thursday,0,0,0,0,0,10,21,37,48,48,43,32,32,48,56,75,75,64,54,43,32,0,0,0
ChIJe0vUxq1ZwokR2U9PaJyn9Mk,Friday,0,0,0,0,0,56,56,62,56,54,51,51,56,54,59,62,62,56,45,35,29,0,0,0
ChIJe0vUxq1ZwokR2U9PaJyn9Mk,Saturday,0,0,0,0,0,0,32,43,48,59,83,97,81,70,43,45,48,51,0,0,0,0,0,0
ChIJe0vUxq1ZwokR2U9PaJyn9Mk,Sunday,0,0,0,0,0,0,21,24,37,51,67,75,86,89,81,62,56,37,0,0,0,0,0,0
ChIJed_amqlZwokRZ2QQm75dbaI,Monday,21,16,9,6,0,0,0,0,0,0,0,18,21,23,36,44,46,44,49,59,61,62,53,47
ChIJed_amqlZwokRZ2QQm75dbaI,Tuesday,31,22,17,11,0,0,0,0,0,0,0,32,49,58,56,58,60,61,66,78,86,83,67,44
ChIJed_amqlZwokRZ2QQm75dbaI,Wednesday,24,11,8,8,0,0,0,0,0,0,0,23,29,35,47,56,69,77,89,93,91,77,59,45
ChIJed_amqlZwokRZ2QQm75dbaI,Thursday,27,21,17,10,0,0,0,0,0,0,0,20,27,33,37,41,50,69,88,94,83,68,56,40
